name	full_name	id	description	language	size	watchers	forks	stargazers_count
hashids.js	ivanakimov/hashids.js	5383496	A small JavaScript library to generate YouTube-like ids from numbers. Use it when you don't want to expose your database ids to the user.	JavaScript	91	839	51	839
activerecord-postgres-hstore	diogob/activerecord-postgres-hstore	891951	Goodbye serialize, hello hstore. Speed up hashes in the database.	Ruby	660	835	114	835
BayesDB	probcomp/BayesDB	13287035	A Bayesian database table for querying the probable implications of data as easily as SQL databases query the data itself. New implementation in http://github.com/probcomp/bayeslite	null	63890	832	55	832
ejdb	Softmotions/ejdb	6427744	EJDB — Embedded JSON Database engine	C	13574	826	86	826
actordb	biokoda/actordb	16109206	ActorDB distributed SQL database	Erlang	3050	826	28	826
TouchDB-iOS	couchbaselabs/TouchDB-iOS	2976023	CouchDB-compatible mobile database; Objective-C version	Objective-C	8358	797	117	797
dbal	doctrine/dbal	677464	Doctrine Database Abstraction Layer	PHP	27796	795	662	795
sprinkles	emilsjolander/sprinkles	13521187	Sprinkles is a boiler-plate-reduction-library for dealing with databases in android applications	Java	2700	785	91	785
android-lite-orm	litesuits/android-lite-orm	17674040	LiteOrm is a fast, small, powerful ORM framework for Android. LiteOrm makes you do CRUD operarions on SQLite database with a sigle line of code efficiently.	Java	2010	780	254	780
trousseau	oleiade/trousseau	12106192	Networked and encrypted key-value database	Go	11988	779	34	779
rails_db	igorkasyanchuk/rails_db	44268071	Rails Database Viewer and SQL Query Runner	Ruby	1922	777	59	777
couchbase-lite-android	couchbase/couchbase-lite-android	9992330	Lightweight, embedded, syncable NoSQL database engine for Android.	Java	93852	773	158	773
migrate	mattes/migrate	22774923	Database migration handling in Golang	Go	201	755	134	755
nyc-taxi-data	toddwschneider/nyc-taxi-data	46248471	Import public NYC taxi and Uber trip data into PostgreSQL / PostGIS database, analyze with R	R	39696	754	205	754
node-oracledb	oracle/node-oracledb	28612154	Oracle Database driver for Node.js maintained by Oracle Corp.	JavaScript	138914	749	255	749
sqlectron-gui	sqlectron/sqlectron-gui	41959825	A simple and lightweight SQL client desktop with cross database and platform support.	HTML	3927	744	64	744
oceanbase	alibaba/oceanbase	26521330	A distributed, shared-nothing relational database	C++	75906	732	393	732
levelgraph	mcollina/levelgraph	9695623	Graph database JS style for Node.js and the Browser. Built upon LevelUp and LevelDB.	JavaScript	1687	732	70	732
whisper	graphite-project/whisper	4254334	Whisper is a file-based time-series database format for Graphite.	Python	564	718	241	718
xo	knq/xo	51139948	Command line tool to generate idiomatic Go code for SQL databases supporting PostgreSQL, MySQL, SQLite, Oracle, and Microsoft SQL Server	Go	717	715	41	715
notorm	vrana/notorm	633412	NotORM - PHP library for simple reading data from the database	PHP	758	710	155	710
VisualAlchemist	prahladyeri/VisualAlchemist	37661406	Open source web-based database diagramming and automation tool	JavaScript	2078	700	37	700
eventql	eventql/eventql	59475316	EventQL is a distributed, column-oriented database built for large-scale event collection and analytics. It runs super-fast SQL and MapReduce queries.	C++	85364	699	48	699
jdbi	jdbi/jdbi	229738	jDBI is designed to provide convenient tabular data access in Java(tm). It uses the Java collections framework for query results, provides a convenient means of externalizing sql statements, and provides named parameter support for any database being used.	Java	15384	697	158	697
android_dbinspector	infinum/android_dbinspector	17116181	Android library for viewing and sharing in app databases.	Java	2287	696	78	696
tingodb	sergeyksv/tingodb	9525219	Embedded Node.js database upward compatible with MongoDB	JavaScript	5065	690	53	690
cassandra	cassandra-rb/cassandra	239681	A Ruby client for the Cassandra distributed database	Ruby	1174	688	151	688
bigchaindb	bigchaindb/bigchaindb	51290852	A scalable blockchain database	Python	4443	685	121	685
querypath	technosophos/querypath	211800	QueryPath is a PHP library for manipulating XML and HTML. It is designed to work not only with local files, but also with web services and database resources.	PHP	3600	681	83	681
Alenka	antonmks/Alenka	3927863	GPU database engine	Cuda	90739	679	78	679
ql	cznic/ql	14090388	Package ql is a pure Go embedded SQL database.	Go	2193	672	45	672
mysql-5.6	facebook/mysql-5.6	9454675	Facebook's branch of the Oracle MySQL v5.6 database. This includes MyRocks.	C++	494624	655	208	655
hood	eaigner/hood	7162561	Database agnostic ORM for Go	Go	1016	652	52	652
ripple	basho-labs/ripple	459445	A rich Ruby modeling layer for Riak, Basho's distributed database	Ruby	10144	647	165	647
quepy	machinalis/quepy	6984771	A python framework to transform natural language questions to queries in a database query language.	Python	369	646	134	646
SequoiaDB	SequoiaDB/SequoiaDB	20424953	SequoiaDB is a document-oriented NoSQL Database	C++	288047	640	307	640
LKDBHelper-SQLite-ORM	li6185377/LKDBHelper-SQLite-ORM	9448173	全自动的插入,查询,更新,删除， an automatic database operation  thread-safe and not afraid of recursive deadlock	Objective-C	1157	640	199	640
sharedb	share/sharedb	9156525	A database frontend for concurrent editing systems	JavaScript	2830	639	84	639
beedb	astaxie/beedb	4272815	beedb is a go ORM,support database/sql interface，pq/mysql/sqlite	Go	1033	618	145	618
nessDB	BohuTANG/nessDB	1922333	A very fast transactional key-value, embedded database storage engine. 	C	2782	617	126	617
GeoIP2-php	maxmind/GeoIP2-php	9916368	PHP API for GeoIP2 webservice client and database reader 	PHP	3481	604	101	604
