name	full_name	id	description	language	size	watchers	forks	stargazers_count
LuasataGlance	thecosmicfrog/LuasataGlance	28836361	Android Wear and mobile app providing real-time tram stop information for Dublin's Luas light rail service.	Java	2543	17	2	17
city-app	PhantomAppDevelopment/city-app	49224509	An Adobe AIR mobile app that uses the Youtube V3 API, Foursquare API, Flickr API and RSS feeds.	ActionScript	217	17	1	17
puffin	puffinrocks/puffin	44172461	lightweight webapp catalog based on containers, with user interface à la mobile app store	Python	2062	17	1	17
Branch-Example-Deep-Linking-Branchster-Android	BranchMetrics/Branch-Example-Deep-Linking-Branchster-Android	28652423	Branch Metrics Example application for Android mobile deep linking / deeplinking - the Branchster app. Branch helps mobile apps grow with deep links / deeplinks that power referral systems, sharing links and invites with full attribution and analytics.	Java	4135	17	4	17
angular-avatar	ajsoriar/angular-avatar	51941101	Angular Avatar is a simple and lightweight AngularJS directive that generates e. Several angular atributes are available to configure the output: size, shape, resolution, colors, etc.a letter's avatar like Microsoft or Google do in their web apps. First letter of each word in a string or a group of initials will be used to generate the avatar. The image of the avatar will be rendered in an html img tag as a real png or jpeg. The image data can be retrieved using javascript to be stored in back-end giving you an initial profile picture in your web or mobile apps when the user does not upload on	HTML	395	17	3	17
confetti	alunny/confetti	1002260	generate mobile app config files	Ruby	632	16	16	16
phonegap-google-universal-analytics	blast-analytics-marketing/phonegap-google-universal-analytics	11210354	Use analytics.js (GA Universal Analytics) with PhoneGap mobile apps.	JavaScript	170	16	23	16
TiInstagramUtil	atsusy/TiInstagramUtil	6892771	Hooks Instagram from Titanium Mobile app.	Python	112	16	5	16
node-deeplink	mderazon/node-deeplink	27536422	Easily create an endpoint in your web server that redirects deep links to mobile apps	JavaScript	40	16	9	16
stlive	tohagan/stlive	22328044	Massively speed up Sencha Touch mobile app development. Avoid compiling and redeployment.	JavaScript	1214	16	4	16
audio-streaming-app	24hourkirtan/audio-streaming-app	49738618	Audio Streaming App Based on Ionic HTML5 Hybrid Mobile App Framework 	JavaScript	18946	16	8	16
kaec-app	PhantomAppDevelopment/kaec-app	19919199	An Apache Flex mobile app that uses the Youtube V3 API, Foursquare API, Flickr API and RSS feeds. 	ActionScript	586	16	5	16
Arbiter-Android	ROGUE-JCTD/Arbiter-Android	13153488	Arbiter is a mobile app that lets you build a map to use for situational awareness and geospatial data collection using a smartphone or tablet	HTML	13280	16	14	16
Trustroots-React-Native	Trustroots/Trustroots-React-Native	63338730	React Native mobile app for Trustroots	Clojure	675	16	1	16
whereat-macroid	the-learning-collective/whereat-macroid	34427455	mobile app for tactical comms on protest marches	Scala	232	16	1	16
ember-ratchet-example	cavneb/ember-ratchet-example	21256440	Instructions to creating a hybrid mobile app with EmberCLI and Ratchet	JavaScript	126	16	2	16
Azot	appstud/Azot	39128408	Azot is a micro behaviors analytics for mobile apps - 	Objective-C	26819	16	1	16
OneSignal-WordPress-Plugin	OneSignal/OneSignal-WordPress-Plugin	35697346	OneSignal is a free push notification service for web and mobile apps. This plugin makes it easy to integrate your website with OneSignal Push Notifications. https://onesignal.com	CSS	22709	16	3	16
rube	kennytilton/rube	59517636	A pure dataflow aka reactive library for building Clojure or ClojureScript models that run by themselves (like Rube Goldberg Machines). Includes Qxia, a mobile app development framewor based on qooxdoo mobile.	JavaScript	15916	16	0	16
mobile-app	Grisu-NOE/mobile-app	24306384	This project aims to build a modern mobile web-app based on the framework Ionic to improve the functionality of http://mobile.leitstelle122.at/.	HTML	8587	15	4	15
limewallet	limewallet/limewallet	27363086	limewallet mobile app	JavaScript	17886	15	12	15
30technologies30days-mobile-app	shekhargulati/30technologies30days-mobile-app	14201801	The mobile application for 30technologiesin30days challenge https://www.openshift.com/blogs/learning-30-technologies-in-30-days-a-developer-challenge	JavaScript	4756	15	15	15
azure-mobile-apps-ios-client	Azure/azure-mobile-apps-ios-client	45963582	iOS Client SDK for Azure Mobile Apps	Objective-C	3483	15	13	15
GagBook	dicksonleong/GagBook	5919905	An unofficial mobile app for 9GAG website, using Qt/QML.	C++	1727	15	7	15
FunctionalMeetup	praeclarum/FunctionalMeetup	60387196	Example code for Frank Krueger's Functional Mobile Apps talk at NDC Oslo 2016	F#	2931	15	6	15
titanium-store	Monglo/titanium-store	5757592	Titanium Store for persistent data storage in titanium mobile apps.	JavaScript	119	15	2	15
macros	workfloapp/macros	51629560	Clojure macros for web and mobile app development	Clojure	386	15	1	15
unity-branch-deep-linking	BranchMetrics/unity-branch-deep-linking	29449996	The Branch Metrics Unity Deferred Deep Linking SDK. Branch helps mobile apps grow with deep links / deeplinks that power referral systems, sharing links and invites with full attribution and analytics.	Objective-C	35566	15	5	15
middleman-ratchet	caedes/middleman-ratchet	9149352	middleman-ratchet is an extension for the Middleman static site generator that adds support for the Ratchet prototyping mobile apps	CSS	263	15	2	15
Finicky	tpryan/Finicky	1834202	Finicky is a mobile app designed to track hard to find local items for travelers.  Made with Flex and AIR.	ActionScript	110191	15	1	15
juggler	jamuhl/juggler	7344961	Juggler is a free and open source framework to build html5 mobile apps and  deploying them to devices thanks to phonegap.	JavaScript	27228	15	0	15
magento-rest-cordova-mobile-app	guohuadeng/magento-rest-cordova-mobile-app	32860624	html5 mobile app by cordova, connect to magento by rest api	JavaScript	52147	14	17	14
Emby.Mobile	MediaBrowser/Emby.Mobile	25432664	A Cordova-based mobile app for Emby	JavaScript	862636	14	24	14
sendbird-sample	smilefam/sendbird-sample	49048873	SendBird - Messaging and Chat API for Mobile Apps and Websites	null	54480	14	23	14
JabbRIsMobile	Redth/JabbRIsMobile	9436370	MvvmCross based set of mobile apps for JabbR	C#	2208	14	7	14
COSCUP2011MobileApp	lis186/COSCUP2011MobileApp	2215197	This is a titanium mobile app for COSCUP 2011	JavaScript	18945	14	0	14
ifixit-microsoft	iFixit/ifixit-microsoft	10806259	iFixit mobile app development for Windows Phone 8 and Windows 8	C#	66961	14	5	14
ti-fighter	itspriddle/ti-fighter	1371760	Wage intergalactic war against your Titanium Mobile apps.	CoffeeScript	847	14	2	14
Geolocation-Examples	aaronpk/Geolocation-Examples	1738822	Example code from my presentation on Geolocation in Web and Mobile Apps	Objective-C	128	14	3	14
carmino	jrburke/carmino	6974722	Build web apps targeted for mobile apps using a card metaphor	JavaScript	6974	14	2	14
JSpager-Ionic-Template	jsappme/JSpager-Ionic-Template	40372363	JSpager converts a Facebook page into a chat hybrid mobile app using Ionic Framework, Ionic Material, Facebook API and Socket.io. JSpager is only an Ionic template. Customization is required to obtain a well finished and polished app.	JavaScript	12191	14	6	14
wsdot-mobile-app	WSDOT/wsdot-mobile-app	13480113	Source code for the WSDOT HTML5 mobile Web application	Java	1754	13	6	13
libreplanapp	Igalia/libreplanapp	6600367	LibrePlan Mobile App	JavaScript	429	13	11	13
azure-mobile-apps-android-client	Azure/azure-mobile-apps-android-client	47153321	Android Client SDK for Azure Mobile Apps	Java	9315	13	14	13
ChkBook	pdsullivan/ChkBook	25234311	Mobile App using Ionic Framework	JavaScript	15087	13	4	13
pgajdrupal	amitavroy/pgajdrupal	13007961	Phonegap AngularJS mobile app with Drupal as REST server	CSS	792	13	3	13
ionic-ion-airbnbmenu	mAmged/ionic-ion-airbnbmenu	28865437	using this ion you can extend your application menu to look like airbnb mobile app menu	JavaScript	11	13	8	13
monaca-framework-android	monaca/monaca-framework-android	5698333	Monaca Framework provides additional functionalities for PhoneGap hybrid mobile apps	Java	24077	13	5	13
yellr	hhroc/yellr	20356930	Comunity Engagement Journalism Mobile App, Website, and Eco-System	JavaScript	38180	13	5	13
xamarin-gradle-plugins	cfraz89/xamarin-gradle-plugins	19600192	Plugins to build xamarin mobile apps using gradle	Groovy	544	13	2	13
PubKit	narup/PubKit	30777643	Lightweight messaging, data store and push notification platform for mobile apps - http://pubkit.co	JavaScript	705832	13	3	13
Re-Locate	nicmitchell/Re-Locate	32781740	Cross platform hybrid mobile app for real estate	HTML	8349	13	2	13
lilacs	ricardoalcocer/lilacs	13279829	Li'l ACS is an instant API on top of Appcelerator Cloud Services, using the Custom Objects API.  Use LilACS any time you need to have a custom on-line database for your web and/or mobile apps.	CSS	1305	13	6	13
learn-saucelabs	dwyl/learn-saucelabs	30361698	:boom: Learn to use SauceLabs.com to test your Web/Mobile apps in ALL the Browsers!	null	9	13	3	13
