name	full_name	id	description	language	size	watchers	forks	stargazers_count
pyeditor	humbhenri/pyeditor	4011022	Text Editor written in python - tkinter	Python	115	2	1	2
Monaco	dwkd/Monaco	5184327	Monaco is a Color Scheme for Sublime Text Editor that emulates Dreamweaver's color formatting for CFML code (so far)	null	102	2	3	2
emolRTE	sobstel/emolRTE	495231	Unbloated Rich Text Editor for jQuery.	JavaScript	112	2	0	2
compose	lucthev/compose	18161786	Yet another rich text editor thing.	JavaScript	582	2	0	2
glitterbomb	robmclarty/glitterbomb	17721770	Glitterbomb theme for Atom text editor.	CSS	148	2	0	2
Sublime-Text-2-Settings	phocke/Sublime-Text-2-Settings	3954403	my handy settings for sublime text editor - optimized to work well with ruby, rails, html, css and the like	null	16213	2	4	2
Dashboard_Mindstorm	GigaBots/Dashboard_Mindstorm	19289994	Dashboard for control panel and console-based text editor in The Gigabots project	JavaScript	8662	2	2	2
racketpad	rmca/racketpad	13199677	A notepad inspired text editor	Racket	140	2	1	2
pedit	jdsolucoes/pedit	45548148	A little-tiny-almost nothing text editor for short commit messages	Python	56	2	2	2
jEdit	josephgodwinkimani/jEdit	54373696	Text Editor - java maven project	Java	206	2	0	2
markup	timurtu/markup	51676693	WYSIWYG Markdown Text Editor Desktop Application.	JavaScript	184057	2	1	2
evernote-edit	scheeser/evernote-edit	22074378	Evernote package for the Atom text editor	JavaScript	212	2	0	2
NoteBar	rafkhan/NoteBar	2124637	A notification bar text editor for android.	Java	180	2	0	2
CodeShow	unicornrainbow/CodeShow	1796976	Broadcast edits made in a text editor (Experimental)	JavaScript	3968	2	0	2
bonfire-snippets	svizion/bonfire-snippets	5649786	Bonfire Snippets for Sublime Text Editor 2	null	121	2	0	2
Sublime2-snippets	Granze/Sublime2-snippets	3207476	Useful snippets for Sublime text editor 2	null	104	2	0	2
Littlechief	razier/Littlechief	4754193	A tiny online text editor written in php	PHP	220	2	1	2
huruf	auralius/huruf	30913889	A console based super cool text editor!	C	74	2	0	2
linter-polymer	opus1269/linter-polymer	48031566	Polymer linter for Atom the Hackable Text Editor	CoffeeScript	9	2	0	2
expedit	fdidier/expedit	51999	a text editor I can experiment with.	C++	256	2	0	2
micro	amaljoyc/micro	43213866	A command-line text editor using python	Python	4	2	0	2
ed-pythonista	ywangd/ed-pythonista	29525392	A poor man's text editor in Pythonista	Python	136	2	0	2
crypto-editor	nilsmehlhorn/crypto-editor	57233320	Simple text-editor to illustrate encryption techniques	Java	9150	2	0	2
sublime-felix	fuzzthink/sublime-felix	63320241	Felix support for the Sublime Text editor	null	5	2	0	2
styles-highlighter	Tuchkata/styles-highlighter	48284577	Styles highlighter plugin for the Atom text editor.	CoffeeScript	21	2	1	2
mesh	palasthotel/mesh	7406551	An HTML5 content-editable and jQuery text-editor	JavaScript	1541	2	1	2
Sublime-Text-Package---Javascript	vanntastic/Sublime-Text-Package---Javascript	3319851	Javascript package / bundle for sublime text editor	null	112	2	0	2
xedit	simoncozens/xedit	259402	Generic XML rich text editor in Javascript	JavaScript	100	2	0	2
CKEditor	mcbryanmd/CKEditor	1387269	Projects dealing with the CKEditor text editor.	null	312	2	0	2
brackets-velocity-syntax-highlighter	adperezmorales/brackets-velocity-syntax-highlighter	28785323	Velocity templates syntax highlighting for Brackets text editor	JavaScript	132	2	0	2
run-chrome-app	sondreb/run-chrome-app	23328514	Run Chrome Apps from Atom Text Editor	CoffeeScript	128	2	0	2
sublime-stackmob-js-snippets	wyne/sublime-stackmob-js-snippets	9389346	StackMob JavaScript Snippets for Sublime Text Editor	null	136	2	0	2
edchar	zar1/edchar	27554663	A text editor for 1-character displays	C	104	2	0	2
we-edit	lalalic/we-edit	61996528	text editor based on react and svg	JavaScript	18590	2	0	2
ThaanaEditText	xahy/ThaanaEditText	44089333	Thaana text editor in swift language for UITextField	Swift	172	2	1	2
siteleaf-atom	siteleaf/siteleaf-atom	19575296	Siteleaf package for the Atom text editor	CoffeeScript	210	2	1	2
rtedit	ViktorQvarfordt/rtedit	24699301	Real-time collaborative text* editor - Web service	JavaScript	1610	2	0	2
jed	olesenm/jed	660985	(patched)  JED is a freely available text editor 	C	1660	2	0	2
jot	iKlsR/jot	10776016	a minimalistic, lightweight, half-realized text editor..	Java	1716	2	0	2
dole	darius/dole	10729009	The Doe text editor rewritten in Lua	Lua	300	2	0	2
dk-nanoc	Pistos/dk-nanoc	922986	A nanoc extension for the Diakonos text editor.	Ruby	92	2	0	2
ide-editor	corydorning/ide-editor	2406983	Various text editor settings and color schemes/themes	null	323	2	1	2
mt-plugin-rich-editor-selector	yuji/mt-plugin-rich-editor-selector	395146	You can choose the favorite rich text editor.	null	72	2	0	2
