,Dataset,n_clusters,NUM_TOPICS,max_df,min_df,precision,recall,f-score
104,showcase_noStem2,20.0,120.0,0.8,0.2,61.0,80.0,69.0
105,showcase_noStem2,20.0,125.0,0.8,0.2,68.0,83.0,74.0
106,showcase_noStem2,20.0,130.0,0.8,0.2,66.0,80.0,72.0
107,showcase_noStem2,20.0,135.0,0.8,0.2,69.0,88.0,77.0
108,showcase_noStem2,20.0,140.0,0.8,0.2,68.0,85.0,76.0
109,showcase_noStem2,20.0,145.0,0.8,0.2,63.0,84.0,72.0
110,showcase_noStem2,25.0,25.0,0.8,0.2,66.0,93.0,77.0
111,showcase_noStem2,25.0,30.0,0.8,0.2,65.0,91.0,76.0
112,showcase_noStem2,25.0,35.0,0.8,0.2,60.0,88.0,72.0
113,showcase_noStem2,25.0,40.0,0.8,0.2,62.0,90.0,73.0
114,showcase_noStem2,25.0,45.0,0.8,0.2,61.0,80.0,69.0
115,showcase_noStem2,25.0,50.0,0.8,0.2,63.0,82.0,71.0
116,showcase_noStem2,25.0,55.0,0.8,0.2,62.0,79.0,69.0
117,showcase_noStem2,25.0,60.0,0.8,0.2,61.0,79.0,69.0
118,showcase_noStem2,25.0,65.0,0.8,0.2,64.0,82.0,72.0
119,showcase_noStem2,25.0,70.0,0.8,0.2,59.0,82.0,69.0
120,showcase_noStem2,25.0,75.0,0.8,0.2,64.0,83.0,72.0
121,showcase_noStem2,25.0,80.0,0.8,0.2,67.0,84.0,75.0
122,showcase_noStem2,25.0,85.0,0.8,0.2,60.0,76.0,67.0
123,showcase_noStem2,25.0,90.0,0.8,0.2,61.0,81.0,69.0
124,showcase_noStem2,25.0,95.0,0.8,0.2,62.0,83.0,71.0
125,showcase_noStem2,25.0,100.0,0.8,0.2,66.0,83.0,74.0
126,showcase_noStem2,25.0,105.0,0.8,0.2,66.0,82.0,73.0
127,showcase_noStem2,25.0,110.0,0.8,0.2,60.0,83.0,69.0
128,showcase_noStem2,25.0,115.0,0.8,0.2,67.0,83.0,74.0
129,showcase_noStem2,25.0,120.0,0.8,0.2,63.0,82.0,71.0
130,showcase_noStem2,25.0,125.0,0.8,0.2,66.0,82.0,73.0
131,showcase_noStem2,25.0,130.0,0.8,0.2,69.0,83.0,75.0
132,showcase_noStem2,25.0,135.0,0.8,0.2,70.0,89.0,78.0
133,showcase_noStem2,25.0,140.0,0.8,0.2,67.0,83.0,75.0
134,showcase_noStem2,25.0,145.0,0.8,0.2,64.0,83.0,72.0
